Unit Name,Nation,Type,Year,Cost,Def,Speed,Veh S,Veh M,Veh L,Per S,Per M,Per L,Abilities
A6M3 Zero Rookie,Japan,Aircraft,1942,9,4/4,A,3,2,-,7,5,,"Agility, Aircraft, Antiair, Inaccurate 1"
"Kawanishi N1K-J ""Shiden-Kai""",Japan,Aircraft,1944,16,4/4,A,4,3,-,9,6,-,"Aircraft, Antiair, Agility"
"KI-43 ""Oscar""",Japan,Aircraft,1941,11,3/3,A,3,2,-,7,4,-,"Aircraft, Antiair, Agility"
"Ki-44 ""Tojo""",Japan,Aircraft,1942,13,4/4,A,3,2,-,8,6,-,"Aircraft, Antiair"
"KI-61 ""tony"" Ace",Japan,Aircraft,1943,15,4/4,A,3,2,-,8,6,-,"Ace, Aircraft"
"KI-6I ""Tony""",Japan,Aircraft,1943,13,4/4,A,3,2,-,8,6,-,"Aircraft, Antiair"
Mitsubishi A6M Zero,Japan,Aircraft,1940,12,3/3,A,4,3,-,8,6,-,"Aircraft, Antiair, Agility"
"Nakajima Ki-43 ""Oscar""",Japan,Aircraft,1941,11,3/3,A,4,3,-,7,4,-,"Aircraft, Antiair, Agility"
47mm Type 1 Anti-Tank Gun,Japan,Soldier Artillery,1942,5,3/3,0,9,8,6,3,3,3,Relocate 2
70mm Type 92,Japan,Soldier Artillery,1939,10,3/3,0,7,6,5,8,7,6,"Enhanced Range 16, Inaccurate 1, Shrapnel 2, Relocate 2, Light Artillery, Indirect Fire"
Arisaka Rifleman,Japan,Soldier,1939,3,4/4,1,2,-,-,8,5,-,"Close Assault 6, Hand to Hand 12"
Azad Hind Fauj Infantryman,Japan,Soldier,1944,3,4/4,1,2,-,-,8,5,-,Close Assault 6
Honor Bound Hero,Japan,Soldier Hero,1939,7,5/5,1,2,-,-,8,6,-,"Japanese Hero, Hand to Hand 10, Close Assault 8, Superior Camouflage"
Imperial Sergeant,Japan,Soldier Commander,1939,9,4/4,1,2,-,-,6,-,-,"Hand to Hand 10, COMMANDER ABILITIES:2, Banzai Charge"
Imperial Sniper,Japan,Soldier Sniper,1939,8,3/3,1,1,1,1,5,5,5,"Crack Shot, Commander Hunter, Superior Camouflage"
Japanese Bicycle Troop,Japan,Soldier,1939,4,4/4,1,2,-,-,8,6,-,"Hand to Hand 9, High Gear 2"
Japanese Sapper,Japan,Soldier Commander,1939,4,4/4,1,2,-,-,6,-,-,"Close Assault 7, Demolitions"
Jungle Spotter,Japan,Soldier Spotter,1939,6,3/3,1,2,-,-,7,5,-,"Spotter, Chatting on the Radio, Concealed"
SNLF Captain,Japan,Soldier Commander,1939,6,4/4,1,2,-,-,7,4,-,"COMMANDER ABILITIES:2, Pinpointer"
SNLF Fanatics,Japan,Soldier,1939,7,5/5,1,2,-,-,9,6,-,"Hard Charger, Hand to Hand 12, Close Assault 6"
SNLF Paratroopers,Japan,Soldier Paratrooper,1942,5,4/4,1,2,-,-,8,5,-,"Paratrooper, Close Assault 6"
Type 88 75mm AA Gun,Japan,Soldier Artillery,1939,16,3/3,0,14,12,10,6,6,5,"Large, Antiair, Extended Range 16, Large Silhouette"
Type 89 Mortar,Japan,Soldier,1939,9,3/3,1,-,4,4,3,7,7,"Inaccurate 1, Shrapnel 2, Seasoned Crew"
Type 92 Machine Gun Team,Japan,Soldier,1939,7,4/4,1,3,3,2,8,7,6,Double Shot
Type 97 Anti-Tank Rifle,Japan,Soldier,1939,4,4/4,0,6,5,3,5,5,4,Heavy Rifle
Type 99 LMG,Japan,Soldier,1939,4,4/4,1,2,2,-,8,6,-,Covering Fire
Type 1 Ho-Ni,Japan,Vehicle Tank Destroyer,1942,12,3/3,3,13,11,9,-,-,-,"No Turret, Open Back"
Type 2 Ka-Mi Amphibious Tank,Japan,Vehicle Tank,1942,9,2/2,3,7,6,5,7,7,6,Amphibious
Type 3 Chi-Nu,Japan,Vehicle Tank,1944,18,5/3,4,13,11,9,6,6,5,Forest Camouflage
Type 4 Ho-Ro,Japan,Vehicle Assault Gun,1944,16,4/2,3,8,7,6,9,9,7,"Enhanced Range 16, Fixed Howitzer, Indirect Fire, Blast, Bombardment, Open-exposed Crew"
Type 87 Armored Car,Japan,Vehicle Armored Car,1939,6,2/2,3,2,-,-,7,6,6,"High Gear 3, Thin Wheels, Strike and Fade 1"
Type 89a Chi-Ro,Japan,Vehicle Tank,1939,7,2/2,3,5,4,3,7,7,6,"Trench Crossing, Weak Suspension"
Type 89b Chi-Ro,Japan,Vehicle Tank,1939,9,2/2,3,8,6,5,7,7,6,Poor Suspension
Type 95 Ha-Go,Japan,Vehicle Tank,1939,8,2/2,4,8,7,5,7,7,6,"Weak Suspension, Forest Camouflage"
Type 97 Chi-Ha,Japan,Vehicle Tank,1942,12,3/3,3,10,8,7,6,6,5,Surprise Fire
Type 97 Te-Ke Tankette,Japan,Vehicle Tank,1939,7,2/2,4,6,4,2,5,-,-,-
New Zealand Commander,NZ New Zealand,Soldier Commander,1941,6,4/4,1,2,-,-,6,-,-,"Close Assault 7, COMMANDER ABILITIES:2, Dispersal"
New Zealand Infantry,NZ New Zealand,Soldier,1941,5,4/4,1,2,-,-,9,7,-,"Close Assault 8, Steely Resolve 2"
Daimler Dingo Armored Car,NZ New Zealand,Vehicle Armored Car,1943,7,3/2,4,2,2,-,6,6,5,"High Gear 2, Recon"
Kosciuszko Hurricane MK.I,Poland,Aircraft,1940,14,4/4,A,3,2,-,8,6,,"Aircraft, Antiair"
Spitfire F Mk IX Raider,Poland,Aircraft,1944,15,4/4,A,4,3,-,8,6,-,"Aircraft, Antiair, Steady Firing"
Cavalrymen,Poland,Soldier Cavalry,1939,4,3/3,4,2,-,-,7,5,-,"Determined Charge, Hand to Hand 9"
Determined Infantryman,Poland,Soldier,1940,4,4/4,1,2,-,-,9,6,-,"Close Assault 6, Steely Resolve 2"
Polish Mauser Kar 98,Poland,Soldier,1939,3,4/4,1,2,-,-,8,6,-,Close Assault 6
Polish Officer,Poland,Soldier Commander,1939,7,4/4,1,2,-,-,5,-,-,"Close Assault 6, COMMANDER ABILITIES:2, Coordinated Fire (C. A.)"
wz.36 37mm ATG,Poland,Soldier Artillery,1939,5,3/3,0,9,7,5,3,3,3,"Relocate 2, Light Artillery"
7TP,Poland,Vehicle Tank,1939,9,2/2,3,9,7,5,6,6,5,-
7TPdw,Poland,Vehicle Tank,1939,8,2/2,3,2,2,2,8,7,6,All Guns Blazing
Cromwell IV,Poland,Vehicle Tank,1944,22,5/4,4,14,11,9,7,7,6,Vanguard
TKS Ursus Tankette,Poland,Vehicle Assault Gun,1939,6,2/2,4,5,4,3,5,5,4,"Fixed Howitzer, Hard to Spot"
Bf109E Escort,Romania,Aircraft,1941,14,4/4,A,4,3,-,8,6,-,"Aircraft, Antiair"
IAR-80A,Romania,Aircraft,1941,11,4/4,A,3,2,-,8,5,-,-
Anti-Tank Grenadier,Romania,Soldier,1941,4,4/4,1,2,-,-,7,5,-,Close Assault 9
Bohler 47mm Anti-Tank Gun,Romania,Soldier Artillery,1941,6,3/3,0,9,8,6,3,3,3,"Relocate 2, Camouflaged"
Romanian Cavalry,Romania,Soldier Cavalry,1941,4,3/3,3,2,-,-,7,5,-,"Hand to Hand 9, Charge"
Romanian Infantry,Romania,Soldier,1941,3,4/4,1,2,-,-,8,6,-,Close Assault 6
Romanian Mortar,Romania,Soldier,1941,7,3/3,1,-,4,4,3,6,6,"Inaccurate 1, Shrapnel 2, Seasoned Crew"
Vigilant Lieutenant,Romania,Soldier Commander,1941,8,4/4,1,2,-,-,7,5,-,"Limited Range 2, COMMANDER ABILITIES:2, Defensive Preparation"
R-2 LT-35,Romania,Vehicle Tank,1941,9,3/2,3,7,6,5,7,7,6,-
R-35,Romania,Vehicle Tank,1941,9,4/4,2,8,7,5,6,6,4,Trench Crossing
Romanian SdKfz 251,Romania,Vehicle Half-Track,1943,7,2/2,4,2,2,2,8,7,6,"Gun Transport, High Gear 2, Fighting Platform"
T-4 Medium Tank,Romania,Vehicle Tank,1942,23,5/3,3,15,13,11,7,7,6,"Extended Range 10, Sideskirts"
South African Infantry,SA South Africa,Soldier,1941,3,4/4,1,2,-,-,8,6,-,Close Assault 6
Marmon Herrington Mk II AC,SA South Africa,Vehicle Armored Car,1941,7,2/2,5,2,2,2,9,8,7,"High Gear 2, Strike and Fade 2"
Valentine II,SA South Africa,Vehicle Tank,1941,16,5/5,3,9,8,6,5,5,4,Robust
Motorcycle Recon,Slovakia,Soldier Motorcycle,1939,4,3/3,5,2,-,-,7,5,-,"High Gear 2, Thin Wheels, Recon"
Slovakian Infantry,Slovakia,Soldier,1939,3,4/4,1,2,-,-,8,6,-,Close Assault 6
PzKpfw 35(t),Slovakia,Vehicle Tank,1939,9,3/2,4,8,7,5,7,7,6,Mobility
PzKpfw 38(t),Slovakia,Vehicle Tank,1941,10,3/2,4,8,7,5,7,7,6,Robust
Slovakian Marder III,Slovakia,Vehicle Tank Destroyer,1944,17,3/2,4,15,13,11,6,5,4,"No Turret, Robust"
Fulmar Mk II,UK,Aircraft,1941,11,4/4,A,3,2,-,8,6,-,"Aircraft, Antiair"
Gloster Meteor,UK,- Jet,1944,17,4/4,A,4,3,-,9,6,-,"Jet, Aircraft, Antiair"
Hawker Typhoon,UK,Aircraft,1943,21,4/4,A,7,5,-,8,6,-,"Aircraft, Antiair, Rockets 8"
Hurricane MK.I,UK,Aircraft,1939,13,4/4,A,4,3,-,7,5,-,"Aircraft, Antiair, Steady Firing"
Spitfire Ace,UK,Aircraft,1940,17,4/4,A,4,3,-,9,7,-,"Aircraft, Ace, Agility"
Spitfire F Mk IX Interceptor,UK,Aircraft,1944,15,4/4,A,4,3,-,8,6,-,"Aircraft, Antiair, Agility"
Spitfire MK.I Ace,UK,Aircraft,1940,16,4/4,A,3,2,-,9,7,-,"Aircraft, Ace, Agility"
Supermarine Spitfire Mk. 1,UK,Aircraft,1939,15,4/4,A,4,3,-,8,6,-,"Aircraft, Antiair, Agility"
Supermarine Spitfire Mk. 1,UK,Aircraft,1940,15,4/4,A,4,3,-,8,6,-,"Aircraft, Antiair, Agility"
Typhoon Interceptor,UK,Aircraft,1943,16,4/4,A,5,4,-,8,6,-,"Aircraft, Antiair"
17 Pounder Anti-Tank Gun,UK,Soldier Artillery,1944,13,3/3,0,15,13,11,3,3,3,"Relocate 1, Extended Range 10, Armor-Piercing Rounds, Large"
2-Pounder Anti-Tank Gun,UK,Soldier Artillery,1940,6,3/3,0,9,8,6,3,3,3,"Relocate 2, Quick Swivel"
3-Inch Mortar,UK,Soldier Artillery,1940,11,3/3,0,-,6,5,3,8,8,"Enhanced Range 16, Inaccurate 1, Shrapnel 2, Relocate 2, Indirect Fire"
40mm Bofors L60,UK,Soldier Artillery,1940,9,3/3,0,6,6,5,11,10,9,"Large, Relocate 1, Enhanced Range 10, Antiair"
6 Pounder Anti-Tank Gun,UK,Soldier Artillery,1942,7,3/3,0,11,9,8,3,3,3,Relocate 2
BEF infantrymen,UK,Soldier,1940,4,4/4,1,2,-,-,9,6,-,"Close Assault 6, Steely Resolve 2"
Bren Machine Gunner,UK,Soldier,1939,5,4/4,1,2,2,-,8,7,-,Covering Fire
Concealed Foreward Observer,UK,Soldier Spotter,1940,6,3/3,1,2,-,-,6,-,-,"Spotter, Chatting on the Radio, Camouflaged"
Defiant paratroopers,UK,Soldier Paratrooper,1941,8,5/5,1,2,-,-,9,7,-,"Paratrooper, Close Assault 8"
Entrenched Anti-Tank Gun,UK,Soldier Artillery,1942,7,3/3,0,11,9,8,3,3,3,"Relocate 2, Entrenched"
Gurkha Rifleman,UK,Soldier,1940,4,4/4,1,2,-,-,8,6,-,"Hand to Hand 10, Close Assault 7"
Inspiring Hero,UK,Soldier Hero Commander,1940,9,5/5,1,2,-,-,9,7,-,"U.K. Hero, Close Assault 7, COMMANDER ABILITIES:1, Tally-Ho!"
Inspiring Lieutenant,UK,Soldier Commander,1940,10,4/4,1,2,-,-,8,6,-,"Close Assault 7, COMMANDER ABILITIES:2, Tally-Ho!"
PIAT Gunner,UK,Soldier,1943,5,4/4,1,9,-,-,4,-,-,"Close Assault 10, Hard to Spot"
Royal Engineers,UK,Soldier,1940,8,4/4,1,2,-,-,6,4,-,"Close Assault 16, Bridge Demolition"
SMLE No.4 Rifleman,UK,Soldier,1941,3,4/4,1,2,-,-,8,6,-,Close Assault 6
Sten SMG,UK,Soldier,1941,4,4/4,1,2,-,-,10,7,-,"Limited Range 2, Close Assault 6"
Vickers Machine Gun Team,UK,Soldier,1940,8,4/4,1,3,3,2,9,8,6,Double Shot
Archer,UK,Vehicle Tank Destroyer,1944,21,3/3,2,15,13,11,5,5,4,"Fixed Rear Gun, Extended Range 10, Strike and Fade 1"
Bedford QL 3 Ton,UK,Vehicle,1941,4,1/1,3,-,-,-,-,-,-,"High Gear 2, Large Transport"
Centurion A41,UK,Vehicle Tank,1945,44,7/4,3,16,14,11,8,7,6,"Robust, Superior Armor 2, Extended Range 12, Armor-Piercing Rounds"
Churchill AVRE,UK,Vehicle Tank,1944,25,7/6,2,10,-,-,12,6,4,"AVRE, Blast, Bombardment"
Churchill Crocodile,UK,Vehicle Tank,1944,35,7/6,2,13,11,9,10,5,4,"Superior Armor 2, Hull-Mounted Flamethrower"
Churchill IV,UK,Vehicle Tank,1942,28,7/6,2,11,9,8,7,7,6,Superior Armor 2
Comet A-34,UK,Vehicle Tank,1945,40,6/3,4,15,13,11,7,7,6,"High Gear 1, Battlefield Awareness, Superior Armor 2"
Cromwell IV,UK,Vehicle Tank,1944,22,5/4,4,14,11,9,7,7,6,Vanguard
Cruiser Mk III A13,UK,Vehicle Tank,1940,9,2/2,4,9,8,6,5,5,4,Vanguard
Crusader II,UK,Vehicle Tank,1941,11,4/3,4,9,8,6,5,5,4,"Vanguard, Prone to Breakdown"
Grant 1,UK,Vehicle Tank,1942,28,5/4,4,9,7,5,9,9,7,"Additional Hull-Mounted Cannon, Large Silhouette"
Humber Scout Car,UK,Vehicle Armored Car,1941,8,3/2,5,2,2,2,9,8,7,"High Gear 2, Strike and Fade 2"
"M22 ""Locust""",UK,Vehicle Tank,1945,13,3/2,4,9,7,6,6,6,4,"High Gear 1, Gliderborne"
M3 Stuart,UK,Vehicle Tank,1941,15,4/3,5,9,7,5,8,8,6,All Guns Blazing
Matilda II,UK,Vehicle Tank,1940,13,6/5,2,9,8,6,6,6,4,Superior Frontal Armor 2
Mk. VII Tetrarch,UK,Vehicle Tank,1944,12,2/2,4,9,8,6,6,6,4,Gliderborne
Morris Recon. Car Mk 2,UK,Vehicle Armored Car,1943,7,2/2,4,2,2,2,8,8,7,"Experienced Recon, High Gear 2, Strike and Fade 1"
Morris Recon. Car Mk. 2,UK,Vehicle Armored Car,1943,7,2/2,4,2,2,2,8,8,7,"Experienced Recon, High Gear 2, Strike and Fade 1"
Sherman IVC,UK,Vehicle Tank,1944,24,5/4,4,15,13,11,7,7,6,-
Sherman VC Firefly,UK,Vehicle Tank,1944,24,5/4,4,15,13,11,7,7,6,-
Staghound,UK,Vehicle Armored Car,1942,15,4/2,4,9,7,5,8,7,6,"High Gear 2, Strike and Fade 1"
Universal Carrier,UK,Vehicle,1940,8,2/2,4,5,4,3,7,6,5,"Gun Transport, High Gear 1"
Valentine I,UK,Vehicle Tank,1940,16,5/5,3,9,8,6,5,5,4,Robust
Valentine II,UK,Vehicle Tank,1941,16,5/5,3,9,8,6,5,5,4,Robust
F4U Corsair,US,Aircraft,1943,20,4/4,A,3,2,-,9,7,-,"Aircraft, Antiair, Superior Armor 2, Bombs"
F4U-1 USMC Corsair,US,Aircraft,1943,20,4/4,A,3,2,-,9,7,-,"Aircraft, Antiair, Bombs, Superior Armor 2"
FM-1 Wildcat,US,Aircraft,1943,11,4/4,A,2,1,-,7,5,,"Aircraft, Antiair"
Lockheed P38G Lightning,US,Aircraft,1942,17,4/4,A,3,2,-,9,6,-,"Aircraft, Antiair, Strafe"
Navy F4F-3 Wildcat,US,Aircraft,1941,12,4/4,A,3,2,-,7,5,-,"Aircraft, Antiair"
Navy F4U Corsair,US,Aircraft,1942,20,4/4,A,3,2,-,9,7,-,"Aircraft, Antiair, Bombs, Superior Armor 2"
P-38J Lightning Ace,US,Aircraft,1943,18,4/4,A,4,3,-,9,7,,"Ace, Aircraft, Strafe"
P39D Rookie,US,Aircraft,1942,11,4/4,A,3,2,-,8,6,-,"Aircraft, Antiair, Inaccurate 1"
P-40 Tomahawk,US,Aircraft,1941,13,4 4,A,3,2,-,7,5,-,"Aircraft, Antiair, Steady Firing"
P-40B Rookie,US,Aircraft,1941,11,4/4,A,3,2,-,8,6,-,"Aircraft, Antiair, Inaccurate 1"
P-51 B Mustang,US,Aircraft,1943,14,4/4,A,3,2,-,8,6,-,"Aircraft, Ace"
P-51 C Escort,US,Aircraft,1943,13,4/4,A,3,2,-,8,6,-,"Aircraft, Antiair"
P51D Mustang,US,Aircraft,1944,17,4/4,A,3,2,-,9,7,-,"Aircraft, Antiair, Rockets 8"
P-51D Mustang,US,,1944,17,4/4,A,3,2,-,9,7,-,"Aircraft, Antiair, Rockets 8"
USMC F4F-4 Wildcat,US,Aircraft,1942,14,4/4,A,3,2,-,9,7,-,"Aircraft, Antiair"
"""Red Devil"" Captain",US,Soldier Commander,1942,7,4/4,1,2,-,-,8,6,-,"Close Assault 7, COMMANDER ABILITIES:2, Pinpointer"
"""Screaming Eagle"" Captain",US,Soldier Para - Commander,1944,11,4/4,1,2,-,-,9,7,-,"Paratrooper, COMMANDER ABILITIES:3, Paratrooper Commander"
"""Screaming Eagle"" Paratroopers",US,Soldier Paratrooper,1944,9,5/5,1,2,-,-,9,7,-,"Paratrooper, Close Assault 8, Hard Charger"
"3"" Gun M5",US,Soldier Artillery,1943,10,3/3,0,14,12,10,3,3,3,"Relocate 1, Large"
37mm Gun M3,US,Soldier Artillery,1941,5,3/3,0,9,7,5,3,3,3,"Relocate 2, Light Artillery"
BAR Gunner,US,Soldier,1941,4,4/4,1,2,2,-,8,6,-,Covering Fire
Bazooka,US,Soldier,1942,4,4/4,1,9,4,-,4,-,-,Close Assault 10
Buffalo Soldiers,US,Soldier,1944,4,4/4,1,2,-,-,8,7,-,"Close Assault 6, Steely Resolve 2"
Hunting Sniper,US,Soldier Sniper,1941,9,3/3,1,1,1,1,5,5,5,"Crack Shot, Gun Crew Hunter, Superior Camouflage"
M1 81mm Mortar,US,Soldier Artillery,1941,12,3/3,0,-,6,5,3,8,8,"Improved Indirect Fire, Enhanced Range 16, Inaccurate 1, Shrapnel 2, Relocate 2"
M1 Garand Rifle,US,Soldier,1942,4,4/4,1,2,-,-,8,7,-,"Close Assault 7, Coordinated Fire"
M1919 MG,US,Soldier,1941,9,4/4,1,3,3,3,9,8,7,Double Shot
M20 75mm Recoilless Rifle,US,Soldier Artillery,1945,10,3/3,0,10,9,7,8,7,5,"Relocate 2, Backblast, Light Artillery"
M8 75mm Pack Howitzer,US,Soldier Artillery,1941,6,3/3,0,6,5,4,9,8,7,"Relocate 2, Indirect Fire, Enhanced Range 12, Light Artillery"
Marine Rifleman,US,Soldier,1942,4,4/4,1,2,-,-,8,7,2,"Gung Ho, Close Assault 7"
Marine Sergeant,US,Soldier Commander,1941,7,4/4,1,2,-,-,9,6,-,"Hand to Hand 9, COMMANDER ABILITIES:2, Fearless"
Marines M2-2 Flamethrower,US,Soldier,1944,5,4/4,1,7,-,-,10,-,-,Flamethrower
Mortar M2,US,Soldier,1941,6,3/3,1,-,4,4,3,6,6,"Inaccurate 1, Shrapnel 2"
Quad 50,US,Soldier Artillery,1943,10,4/4,0,3,3,3,9,8,6,"Antiair, Relocate 2, Light Artillery, Double Shot"
Rangers,US,Soldier Spotter,1942,7,5/5,1,2,-,-,9,7,-,"Lead the Way, Close Assault 7"
Resourceful Hero,US,Soldier Hero,1941,8,5/5,1,2,-,-,10,7,-,"U.S. Hero, Improvisation, Close Assault 8"
Thompson Gunner,US,Soldier,1941,4,4/4,1,2,-,-,10,8,-,"Limited Range 2, Gung Ho, Close Assault 7"
Untested Recruit,US,Soldier,1942,2,4/4,1,2,-,-,8,5,-,"Green, Close Assault 4"
US Engineer,US,Soldier,1942,6,4/4,1,2,-,-,8,6,-,"Close Assault 10, Bridge Demolition"
"""Amtrack""",US,Vehicle,1943,11,2/2,3,3,3,2,8,8,6,"Amphibious, Transport"
CCKW 352,US,Vehicle,1941,4,1/1,3,-,-,-,-,-,-,"High Gear 2, Large Transport"
DUKW,US,Vehicle,1943,9,2/2,4,3,3,2,6,6,5,"Amphibious, High Gear 2, Gun Transport"
Early M4A1 Sherman,US,Vehicle Tank,1942,20,5/4,4,13,11,9,9,9,7,Fire Hazard
FO Jeep,US,Vehicle Spotter,1942,6,1/1,5,-,-,-,5,-,-,"Spotter, Chatting on the Radio"
Higgins Boat,US,Vehicle Boat,1942,7,3/3,2,2,2,2,6,6,4,"Water Craft, Heavy Transport"
Jeep,US,Vehicle car,1941,3,1/1,5,-,-,-,-,-,-,"High Gear 2, Transport"
LVT(A)-1,US,Vehicle Tank,1943,9,2/2,3,9,7,5,9,9,7,"Amphibious, Overlapping Fire"
M-10,US,Vehicle Tank Destroyer,1943,19,4/3,4,14,12,10,6,6,5,Flanking Attack
M12 GMC,US,Vehicle Artillery,1944,28,4/3,3,12,10,9,10,10,9,"Fixed Howitzer, Enhanced Range 16, Indirect Fire, Bombardment, Blast, Open Back"
M16 Half-Track,US,Vehicle Half-Track,1943,15,2/2,4,3,3,3,9,8,6,"High Gear 2, Antiair, Double Shot"
M18 GMC,US,Vehicle Tank Destroyer,1944,24,3/2,5,14,12,10,6,6,4,"High Gear 2, Strike and Fade 1, Flanking Attack"
M18 Hellcat,US,Vehicle Tank Destroyer,1944,24,3/2,5,14,12,10,6,6,4,"High Gear 2, Flanking Attack, Strike and Fade 1"
M24 Chaffee,US,Vehicle Tank,1945,19,4/3,5,13,11,10,7,7,6,Superior Armor 2
M26 Pershing,US,Vehicle Tank,1945,60,7/6,3,17,14,12,9,9,7,"Extended Range 12, Superior Armor 2"
M3 Half-Track,US,Vehicle Half-Track,1941,8,2/2,4,3,3,3,8,7,6,"Gun Transport, High Gear 2, Fighting Platform"
M3 Lee,US,Vehicle Tank,1942,32,5/4,3,9,7,5,9,9,7,"Strike and Fade 1, Tall Silhouette, Additional Hull-Mounted Cannon"
M3 Light Tank,US,Vehicle Tank,1941,15,4/3,5,9,7,5,8,8,6,All Guns Blazing
M36 GMC,US,Vehicle Tank Destroyer,1944,32,5/3,4,17,14,12,6,6,4,"Extended Range 12, Flanking Attack"
M3A1 Scout Car,US,Vehicle Armored Car,1941,7,2/2,4,3,3,2,8,7,6,"Transport, High Gear 2"
M3A5 Lee,US,Vehicle Tank,1942,28,5/4,3,9,7,5,9,9,7,"Additional Hull-Mounted Cannon, Tall Silhouette"
M4 Sherman T-34 Calliope,US,Vehicle Tank,1944,29,5/4,3,13,11,9,10,10,9,Top-Mounted Rockets
M4A1 Sherman,US,Vehicle Tank,1942,21,5/4,4,13,11,9,9,9,7,-
M4A1 Sherman Commander,US,Vehicle Tank Commander,1942,33,5/4,4,13,11,9,9,9,7,"COMMANDER ABILITIES:2, Command Leadership"
M4A3 (105) Sherman,US,Vehicle Tank,1944,24,5/4,4,10,8,7,11,11,9,Bombardment
"M4A3E8 sherman ""Easy Eight""",US,Vehicle Tank,1944,34,5/4,4,14,12,10,7,7,6,"Exposed Transport, Excellent Suspension, Armor-Piercing Rounds, Superior Armor 2"
M5 Half-Track,US,Vehicle Half-Track,1943,8,2/2,4,3,3,3,8,7,6,"Gun Transport, High Gear 2, Fighting Platform"
M5A1,US,Vehicle Tank,1942,15,4/3,5,9,7,5,9,9,7,Robust
M7 105mm Priest,US,Vehicle Tank,1942,27,3/3,3,10,8,7,11,10,9,"Indirect Fire, Enhanced Range 16, Bombardment, Fixed Howitzer, Open Back"
"M8 ""Greyhound""",US,Vehicle Armored Car,1943,14,2/2,4,9,7,5,9,8,7,"High Gear 2, Strike and Fade 2, Experienced Recon"
"Veteran M4 Sherman ""Rhino""",US,Vehicle Tank,1944,26,5/4,4,13,11,9,9,9,7,"Brushcutters, Veteran Crew"
Guards Yak-1,USSR,Aircraft,1941,14,4/4,A,4,3,-,8,6,-,"Aircraft, Antiair"
"I-16 ""Ishak""",USSR,Aircraft,1939,11,4/4,A,2,1,-,7,4,-,"Antiair, Antiair"
IL-10 Sturmovik,USSR,Aircraft,1945,21,4/4,A,7,5,-,8,6,-,"Aircraft, Superior Armor 2"
IL-2 Sturmovic,USSR,Aircraft,1941,21,4/4,A,7,5,-,8,6,-,"Aircraft, Superior Armor 2"
La-5FN Ace,USSR,Aircraft,1942,15,4/4,A,4,3,-,8,6,-,"Ace, Aircraft"
Lend-Lease Tomahawk MK.II,USSR,Aircraft,1941,13,4/4,A,3,2,-,7,5,-,"Aircraft, Antiair, Steady Firing"
MiG-1,USSR,Aircraft,1941,13,4/4,A,3,2,-,8,5,-,"Aircraft, Antiair"
P39 Lend Lease,USSR,Aircraft,1942,12,4/4,A,3,2,-,8,6,-,"Aircraft, Antiair"
Yak-1 Rookie,USSR,Aircraft,1941,9,4/4,A,3,2,-,7,5,-,"Aircraft, Antiair, Inaccurate 1"
76.2mm Model 1942,USSR,Soldier Artillery,1941,9,3/3,0,13,11,9,7,7,6,"Relocate 1, Extended Range 10"
82mm PM-37 Mortar,USSR,Soldier Artillery,1939,11,3/3,0,-,6,5,3,8,8,"Enhanced Range 16, Relocate 2, Inaccurate 1, Shrapnel 2, Indirect Fire"
82mm Pm-37 Mortar,USSR,Soldier Artillery,1939,11,3/3,0,-,6,5,3,8,8,"Enhanced Range 16, Relocate 2, Inaccurate 1, Shrapnel 2, Indirect Fire"
85mm AA Gun,USSR,Soldier Artillery,1939,15,3/3,0,15,13,11,7,7,6,"Antiair, Extended Range 16, Large Silhouette, Large"
Commissar,USSR,Soldier Commander,1939,5,4/4,1,2,-,-,5,-,-,"Close Assault 6, COMMANDER ABILITIES:1, Bravery Enforcement"
Communist Partisans,USSR,Soldier,1941,3,4/4,1,2,-,-,7,5,-,"Partisan, Close Assault 5, Urban Combat"
Cossack Captain,USSR,Soldier Commander,1939,9,4/4,1,2,-,-,8,5,-,"Limited Range 2, COMMANDER ABILITIES:2, Intimidation"
Cossack Cavalrymen,USSR,Soldier Cavalry,1939,4,3/3,3,2,-,-,7,5,-,"Hand to Hand 9, Elusive"
Degtyarev DP-27,USSR,Soldier,1939,4,4/4,1,2,2,-,9,5,-,"Command Dependent, Covering Fire"
Fanatical Sniper,USSR,Soldier Sniper,1941,8,3/3,1,1,1,1,5,5,5,"Crack Shot, SS Hunter, Superior Camouflage"
Guards Infantry,USSR,Soldier,1941,5,4/4,1,2,-,-,9,6,-,"Close Assault 8, Steely Resolve 2, Courage"
Hero of the Soviet Union,USSR,Soldier Hero,1939,8,5/5,1,2,-,-,9,7,-,"Soviet Hero, Hand to Hand 10, Close Assault 8, Endurance"
Maxim M1910 MG,USSR,Soldier,1939,7,4/4,1,3,3,2,9,8,6,"Double Shot, Command Dependent"
Mongolian Cavalry,USSR,Soldier Cavalry,1939,4,3/3,3,2,-,-,7,5,-,Hand to Hand 10
Mosin-Nagant 1891/30,USSR,Soldier,1939,3,4/4,1,2,-,-,8,6,-,"Close Assault 8, Command Dependent"
PPSh-41 SMG,USSR,Soldier,1941,3,4/4,1,2,-,-,10,5,-,Limited Range 2
PTRD-41 Anti-Tank Rifle,USSR,Soldier,1941,4,4/4,1,5,4,2,5,5,4,-
Red Army Forward Observer,USSR,Soldier Spotter,1939,6,3/3,1,2,-,-,6,2,-,"Spotter, Chatting on the Radio, Concealed"
Siberian Shock Troops,USSR,Soldier,1941,4,4/4,1,2,-,-,9,6,-,"Close Assault 6, Shock Troop"
